,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Dikson,73.51,80.55,30.72,94,100,20.83,RU,1602798371
1,Hithadhoo,-0.6,73.08,82.31,75,97,20.09,MV,1602798372
2,Moerai,-22.43,-151.33,72.18,84,88,18.54,PF,1602798372
3,George Town,5.41,100.34,77.0,88,40,8.05,MY,1602798243
4,Punta Arenas,-53.15,-70.92,51.8,53,75,34.45,CL,1602798373
5,Saint-Philippe,-21.36,55.77,71.6,68,7,5.82,RE,1602798374
6,Bilibino,68.05,166.44,27.55,93,100,4.05,RU,1602798374
7,Torbay,47.67,-52.73,60.01,93,90,10.29,CA,1602798374
8,Torata,-17.08,-70.84,62.91,45,12,6.96,PE,1602798374
9,Chui,-33.7,-53.46,59.09,93,38,6.89,UY,1602798375
10,Amga,60.9,131.96,15.42,96,98,3.04,RU,1602798375
11,Cairns,-16.92,145.77,73.4,78,75,9.17,AU,1602798369
12,Arlit,18.74,7.39,93.67,11,0,11.32,NE,1602798377
13,Vaini,-21.2,-175.2,77.0,78,75,11.41,TO,1602798377
14,Kapaa,22.08,-159.32,84.99,70,75,16.11,US,1602798264
15,Coos Bay,43.37,-124.22,66.0,59,1,16.11,US,1602798378
16,Ushuaia,-54.8,-68.3,51.8,40,90,34.45,AR,1602798379
17,Longyearbyen,78.22,15.64,26.6,92,75,2.24,SJ,1602798380
18,Yellowknife,62.46,-114.35,28.4,58,90,21.92,CA,1602798166
19,Saint Paul Harbor,57.79,-152.41,48.2,66,1,12.75,US,1602798381
20,Barrow,71.29,-156.79,26.6,73,90,3.36,US,1602798313
21,Vardø,70.37,31.11,35.6,93,75,13.87,NO,1602798382
22,Grindavik,63.84,-22.43,48.2,87,90,9.17,IS,1602798382
23,Bonfim,3.08,-59.95,87.85,51,98,4.76,BR,1602798383
24,Jamestown,42.1,-79.24,52.0,93,90,11.41,US,1602798383
25,Haines Junction,60.75,-137.51,37.31,77,98,0.78,CA,1602798383
26,Cape Town,-33.93,18.42,61.0,77,73,16.11,ZA,1602798138
27,Port Alfred,-33.59,26.89,62.96,81,42,7.4,ZA,1602798384
